state,smoked,year
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
19,0,1
